timestamp,open,high,low,close,volume
2025-05-19 09:31:00+05:30,1939.8,1940.4,1938.0,1938.0,27627.0
2025-05-19 09:32:00+05:30,1938.0,1938.0,1936.4,1936.4,11793.0
2025-05-19 09:33:00+05:30,1936.3,1936.4,1935.0,1935.1,17487.0
2025-05-19 09:34:00+05:30,1935.0,1937.1,1935.0,1936.5,10857.0
2025-05-19 09:35:00+05:30,1936.6,1937.1,1935.7,1935.7,8091.0
2025-05-19 09:36:00+05:30,1936.0,1936.5,1934.7,1935.2,11531.0
2025-05-19 09:37:00+05:30,1935.0,1937.0,1934.7,1937.0,7796.0
2025-05-19 09:38:00+05:30,1936.8,1938.0,1936.6,1937.0,9203.0
2025-05-19 09:39:00+05:30,1937.0,1937.2,1936.1,1936.8,8877.0
2025-05-19 09:40:00+05:30,1936.5,1936.9,1936.2,1936.7,6642.0
2025-05-19 09:41:00+05:30,1936.5,1936.6,1935.5,1936.2,6187.0
2025-05-19 09:42:00+05:30,1936.2,1936.2,1934.7,1935.1,2949.0
2025-05-19 09:43:00+05:30,1935.1,1935.6,1934.7,1935.5,5316.0
2025-05-19 09:44:00+05:30,1935.5,1936.2,1934.7,1934.9,11316.0
2025-05-19 09:45:00+05:30,1935.0,1935.0,1933.3,1934.4,6825.0
2025-05-19 09:46:00+05:30,1933.8,1935.0,1933.6,1934.8,3669.0
2025-05-19 09:47:00+05:30,1934.7,1934.8,1934.4,1934.4,2047.0
2025-05-19 09:48:00+05:30,1934.4,1934.5,1934.0,1934.4,2977.0
2025-05-19 09:49:00+05:30,1934.2,1934.4,1934.1,1934.4,1980.0
2025-05-19 09:50:00+05:30,1934.2,1935.6,1934.1,1935.3,6008.0
2025-05-19 09:51:00+05:30,1935.4,1936.9,1935.4,1935.9,7240.0
2025-05-19 09:52:00+05:30,1935.9,1935.9,1935.0,1935.1,2349.0
2025-05-19 09:53:00+05:30,1935.2,1935.4,1933.1,1934.2,14408.0
2025-05-19 09:54:00+05:30,1933.8,1934.9,1933.8,1934.8,1547.0
2025-05-19 09:55:00+05:30,1934.7,1934.8,1933.7,1934.0,4617.0
2025-05-19 09:56:00+05:30,1933.9,1934.6,1933.0,1933.5,6817.0
